Product Name,Current Price,Competitor Price,New Price
DUA KELINCI SUKRO ORI 100G,368000,316700,316700
DUA KELINCI SUKRO ORIGINAL 10X20GR,49200,49000,49000
DUA KELINCI TICTAC 10x16GR,54000,49200,49200
ENERGEN CEREAL CHOC RCG 10X34 G,267600,267700,267600
ENERGEN CEREAL KC IJO RCG 10X35 G,267600,267700,267600
ENERGEN CEREAL VAN RCG 10X32 G,267600,267700,267600
GARUDA PILUS RUMPUT LAUT 10X9G,54000,48600,48600
GARUDA PILUS SAPI PANGGANG 10X9G,56400,48600,48600
GERY CHOCOLATOS 24X8G,128400,127200,123600
GERY MALKIST COKELAT KELAPA 105GR,225000,167500,185800
GERY SALUUT MALKIST COK FAM PACK 110 GR,225000,167500,185800
GERY SALUUT MALKIST KEJU 110G,165000,167500,185800
GERY SALUUT MALKIST KELAPA 105G,219000,167500,185800
MOMOGI COKLAT 20X6G/5G,72400,66400,68800
MOMOGI STICK JAGUNG BAKAR 20x6GR,72400,66400,68800
MOMOGI STICK KEJU 20X6G/5G,72400,66400,68800
REGAL RENCENG 10PCS,99600,102000,99600
ROMA KELAPA BISCUIT 300 GR,221200,221200,221200
ROMA MALKIST CRACKER 250GR,162000,157800,157800
ROMA SUPERSTAR CKLT 12X16G,122400,122400,122400
DAIA DET PUTIH 12X25/23 GR,48000,49000,48000
DAIA DET SENSASI BUNGA 6X47/46 GR,58200,57000,58200
DAIA DET SOFTENER 12X25/23 GR,48000,49000,48000
DAIA DET VIOLET 12X25/23 GR,48000,49000,48000
DAIA DET VIOLET 6X47/46 GR,58200,58200,58200
DAIA DETERGENT BUNGA 480GR/470GR,99600,104600,99600
DAIA DETERGENT PUTIH 6 X 47/46GR,58200,57000,58200
DAIA DETERGENT PUTIH 480/470GR,99600,104600,99600
DAIA DETERGENT VIOLET 480/470GR,99600,104600,99600
DOWNY MISTIQUE SACHET 6X19ML,276600,258760,276600
DOWNY PASSION SCH 6X19 ML,276600,258760,276600
EKONOMI CREAM 500K 160/145GR,51750,50250,51750
EKONOMI CREAM PUTIH 350K 73/67GR,49500,49500,49500
EKONOMI CREAM PUTIH 500K 160/145GR,51750,49500,51750
EKONOMI SABUN CREAM 350K 73/67G,49500,48500,49500
KISPRAY VIOLET SACHET 24X7/6ML,478800,480000,482400
KISPRAY AMORIS SACHET 24X7/6ML,478800,480000,482400
KISPRAY BLUIS SACHET 24X7/6ML,478800,480000,482400
RINSO AN DET LIQUID SACHET 6X40/38ML,114000,113800,114000
RINSO ANTI NODA SACHET 6X42/40GR,101850,100825,101850
RINSO MOLTO DET LIQ SACHET 6X40/38ML,114000,113800,114000
RINSO MOLTO ULTRA SACHET 6X42/40GR,101850,114000,101850
SOFFELL APEL SCH 12X6 GR,489600,465600,496800
SOFFELL KULIT JERUK SCH 12X6 GR,489600,465600,496800
SUNLIGHT LIQ LIME PCH 195/200ML,105000,104400,105000
SUNLIGHT LIQ LIME PCH 400ML,177000,170400,344400
SUNLIGHT LIQUID LIME PCH 700/650ML,145200,156000,142800
SUNLIGHT LIQUID LIME PCH 90ML/95 ML,118800,118800,118800
3 AYAM MIE TELOR KUNING 200GR,79500,78500,73000
3 AYAM MIE TELOR MERAH 200GR,79500,78500,73000
CAKRA TERIGU 1KG,169200,138000,163200
ENVIO MILD 16'S-BKS,187000,188000,187000
FORVITA MARGARINE SACHET 200 GR,262800,384000,381000
GMP GULA PASIR LOKAL 50 KG,661000,655000,655000
INDOMIE GORENG SPECIAL 85GR,111600,109250,106000
INDOMIE KARI AYAM 72 GR,115000,111250,115000
INDOMIE MIE AYAM BAWANG 69GR,108000,107950,106000
